id_sample,sample_name,plot,rep,experiment,treatment,season,measurment,sampling_identifier,LAI_FILE,VERSION,DATE,TIME,PROMPT1,RESP1,PROMPT2,RESP2,TRANSCOMP,MODEL,GPSLAT,GPSLONG,GPSALT,GPSHDOP,GPSNUM,LAI,SEL,ACF,DIFN,MTA,SEM,SMP
11_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,11,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-011A,2.0.3,20220801,15:34:36,,,,,APS,HORIZONTAL,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0
11_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,11,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-011B,2.0.3,20220801,15:35:40,,,,,APS,HORIZONTAL,,,,,,3.951,0.9030,0.7361,0.04540,40.00,4.064,4
12_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,12,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-012A,2.0.3,20220801,15:36:36,,,,,APS,HORIZONTAL,,,,,,3.678,0.4066,0.9217,0.05515,41.04,5.864,3
12_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,12,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-012B,2.0.3,20220801,15:37:11,,,,,APS,HORIZONTAL,,,,,,3.123,0.3884,0.9209,0.08819,20.77,19.56,3
13_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,13,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-013A,2.0.3,20220801,15:37:46,,,,,APS,HORIZONTAL,,,,,,3.668,0.5283,0.8328,0.06034,50.38,5.895,4
13_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,13,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-013B,2.0.3,20220801,15:39:02,,,,,APS,HORIZONTAL,,,,,,4.351,0.2321,0.9555,0.03061,41.58,2.047,3
14_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,14,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-014A,2.0.3,20220801,15:39:41,,,,,APS,HORIZONTAL,,,,,,4.036,0.8133,0.6984,0.04095,41.58,3.274,4
14_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,14,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-014B,2.0.3,20220801,15:40:56,,,,,APS,HORIZONTAL,,,,,,4.536,0.5551,0.8840,0.03067,38.39,2.523,3
15_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,15,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-015A,2.0.3,20220801,15:43:08,,,,,APS,HORIZONTAL,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0
15_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,15,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-015B,2.0.3,20220801,15:44:30,,,,,APS,HORIZONTAL,,,,,,5.223,1.037,0.6200,0.01683,43.00,1.838,4
16_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,16,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-016A,2.0.3,20220801,15:45:05,,,,,APS,HORIZONTAL,,,,,,3.849,0.7657,0.7703,0.05273,47.54,5.357,4
16_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,16,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-016B,2.0.3,20220801,15:45:48,,,,,APS,HORIZONTAL,,,,,,4.763,1.188,0.4893,0.02728,37.56,3.809,4
17_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,17,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-017A,2.0.3,20220801,15:46:25,,,,,APS,HORIZONTAL,,,,,,3.160,0.7282,0.7276,0.09361,54.37,3.753,5
17_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,17,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-017B,2.0.3,20220801,15:47:01,,,,,APS,HORIZONTAL,,,,,,4.202,0.3882,0.9072,0.03803,37.08,5.108,3
18_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,18,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-018A,2.0.3,20220801,15:47:40,,,,,APS,HORIZONTAL,,,,,,5.177,0.6730,0.8129,0.01677,42.76,3.610,4
18_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,18,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-018B,2.0.3,20220801,15:48:25,,,,,APS,HORIZONTAL,,,,,,4.688,0.9600,0.6558,0.02492,41.30,1.828,4
19_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,19,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-019A,2.0.3,20220801,15:49:22,,,,,APS,HORIZONTAL,,,,,,4.470,0.6662,0.8110,0.03517,45.16,8.488,4
19_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,19,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-019B,2.0.3,20220801,15:49:52,,,,,APS,HORIZONTAL,,,,,,4.548,0.9603,0.6270,0.02881,39.57,2.156,4
20_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,20,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-020A,2.0.3,20220801,15:50:23,,,,,APS,HORIZONTAL,,,,,,3.216,0.8120,0.6572,0.08008,18.98,17.72,4
20_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,20,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-020B,2.0.3,20220801,15:51:29,,,,,APS,HORIZONTAL,,,,,,4.902,0.9916,0.6382,0.02091,41.33,4.288,4
21_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,21,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-021A,2.0.3,20220801,15:52:24,,,,,APS,HORIZONTAL,,,,,,5.680,1.256,0.6533,0.01177,42.39,2.412,4
21_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,21,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-021B,2.0.3,20220801,15:52:52,,,,,APS,HORIZONTAL,,,,,,4.951,1.244,0.4798,0.01854,40.18,1.335,4
22_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,22,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-022A,2.0.3,20220801,15:53:25,,,,,APS,HORIZONTAL,,,,,,3.856,1.110,0.7752,0.04698,43.92,6.155,2
22_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,22,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-022B,2.0.3,20220801,15:54:02,,,,,APS,HORIZONTAL,,,,,,3.213,0.6240,0.7634,0.08118,38.94,2.169,4
23_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,23,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-023A,2.0.3,20220801,15:54:58,,,,,APS,HORIZONTAL,,,,,,3.607,0.7664,0.7670,0.06901,51.10,3.382,4
23_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,23,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-023B,2.0.3,20220801,15:55:30,,,,,APS,HORIZONTAL,,,,,,3.487,0.7912,0.6883,0.06494,44.09,3.353,4
24_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,24,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-024A,2.0.3,20220801,15:56:00,,,,,APS,HORIZONTAL,,,,,,3.115,0.4416,0.9239,0.1007,44.53,7.083,2
24_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,24,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-024B,2.0.3,20220801,15:56:40,,,,,APS,HORIZONTAL,,,,,,2.699,0.1953,0.9515,0.1337,43.99,10.20,3
25_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,25,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-025A,2.0.3,20220801,15:58:13,,,,,APS,HORIZONTAL,,,,,,4.412,0.5157,0.8345,0.02927,36.42,4.021,4
25_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,25,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-025B,2.0.3,20220801,15:58:43,,,,,APS,HORIZONTAL,,,,,,3.617,0.8060,0.7226,0.05714,32.64,5.490,4
26_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,26,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-026A,2.0.3,20220801,15:59:17,,,,,APS,HORIZONTAL,,,,,,4.804,1.108,0.5845,0.02356,31.71,8.518,4
26_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,26,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-026B,2.0.3,20220801,15:59:57,,,,,APS,HORIZONTAL,,,,,,4.915,0.7757,0.7515,0.02007,37.54,2.926,4
27_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,27,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-027A,2.0.3,20220801,16:00:35,,,,,APS,HORIZONTAL,,,,,,2.815,0.5175,0.8614,0.1087,42.23,2.193,4
27_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,27,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-027B,2.0.3,20220801,16:02:17,,,,,APS,HORIZONTAL,,,,,,4.186,0.1100,0.9707,0.04099,38.90,4.302,3
28_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,28,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-028A,2.0.3,20220801,16:02:49,,,,,APS,HORIZONTAL,,,,,,5.939,0.08270,0.9844,0.009602,34.66,6.258,3
28_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,28,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-028B,2.0.3,20220801,16:03:27,,,,,APS,HORIZONTAL,,,,,,5.087,0.1232,0.9775,0.01696,40.72,1.027,3
29_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,29,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-029A,2.0.3,20220801,16:04:02,,,,,APS,HORIZONTAL,,,,,,3.790,0.5530,0.8252,0.05054,44.31,4.592,4
29_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,29,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-029B,2.0.3,20220801,16:04:40,,,,,APS,HORIZONTAL,,,,,,4.279,0.5437,0.9044,0.03316,42.81,2.943,3
30_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,30,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-030A,2.0.3,20220801,16:05:16,,,,,APS,HORIZONTAL,,,,,,3.956,0.3043,0.9508,0.04406,42.02,1.584,4
30_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,30,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-030B,2.0.3,20220801,16:05:49,,,,,APS,HORIZONTAL,,,,,,3.443,0.1720,0.9781,0.06605,40.83,3.438,3
31_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,31,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-031A,2.0.3,20220801,16:07:05,,,,,APS,HORIZONTAL,,,,,,3.765,0.6327,0.8178,0.05051,43.24,2.864,4
31_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,31,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-031B,2.0.3,20220801,16:10:02,,,,,APS,HORIZONTAL,,,,,,5.147,0.3175,0.9527,0.01690,40.77,1.491,3
32_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,32,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-032A,2.0.3,20220801,16:10:39,,,,,APS,HORIZONTAL,,,,,,3.627,0.4172,0.8702,0.06022,43.49,3.309,4
32_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,32,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-032B,2.0.3,20220801,16:11:08,,,,,APS,HORIZONTAL,,,,,,6.087,0.4578,0.9568,0.008060,41.42,1.090,3
33_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,33,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-033A,2.0.3,20220801,16:11:46,,,,,APS,HORIZONTAL,,,,,,4.261,0.4651,0.9118,0.03399,40.67,2.205,3
33_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,33,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-033B,2.0.3,20220801,16:12:12,,,,,APS,HORIZONTAL,,,,,,3.841,0.5152,0.8106,0.04875,40.72,4.796,4
34_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,34,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-034A,2.0.3,20220801,16:12:50,,,,,APS,HORIZONTAL,,,,,,4.199,0.7425,0.7707,0.03634,42.95,3.499,4
34_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,34,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-034B,2.0.3,20220801,16:13:22,,,,,APS,HORIZONTAL,,,,,,6.738,0.2310,0.9620,0.005103,43.43,6.323,3
35_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,35,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-035A,2.0.3,20220801,16:13:58,,,,,APS,HORIZONTAL,,,,,,3.519,0.4929,0.8426,0.05961,41.36,1.523,4
35_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,35,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-035B,2.0.3,20220801,16:14:24,,,,,APS,HORIZONTAL,,,,,,3.459,0.6776,0.7555,0.06676,43.67,2.582,4
36_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,36,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-036A,2.0.3,20220801,16:15:06,,,,,APS,HORIZONTAL,,,,,,2.318,0.2785,0.9212,0.1666,45.49,2.013,4
36_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,36,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-036B,2.0.3,20220801,16:15:37,,,,,APS,HORIZONTAL,,,,,,3.475,0.3403,0.9354,0.06215,39.55,1.571,3
37_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,37,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-037A,2.0.3,20220801,16:16:07,,,,,APS,HORIZONTAL,,,,,,4.313,0.5909,0.8084,0.03544,40.54,4.997,4
37_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,37,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-037B,2.0.3,20220801,16:17:01,,,,,APS,HORIZONTAL,,,,,,3.743,0.7872,0.6724,0.05020,42.36,3.695,4
38_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,38,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-038A,2.0.3,20220801,16:17:36,,,,,APS,HORIZONTAL,,,,,,5.939,0.3133,0.9475,0.01033,41.58,7.206,3
38_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,38,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-038B,2.0.3,20220801,16:18:00,,,,,APS,HORIZONTAL,,,,,,4.973,0.8909,0.6726,0.02015,40.61,3.488,4
39_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,39,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-039A,2.0.3,20220801,16:18:36,,,,,APS,HORIZONTAL,,,,,,2.982,0.3387,0.9154,0.09857,40.48,1.744,4
39_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,39,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-039B,2.0.3,20220801,16:19:06,,,,,APS,HORIZONTAL,,,,,,3.709,0.4107,0.8966,0.05159,18.87,9.178,3
40_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,40,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-040A,2.0.3,20220801,16:19:47,,,,,APS,HORIZONTAL,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0
40_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,40,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-040B,2.0.3,20220801,16:20:17,,,,,APS,HORIZONTAL,,,,,,4.206,0.6526,0.7861,0.03711,32.77,7.763,4
41_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,41,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-041A,2.0.3,20220801,16:20:53,,,,,APS,HORIZONTAL,,,,,,3.590,0.5275,0.8430,0.06256,49.31,5.559,4
41_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,41,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-041B,2.0.3,20220801,16:21:30,,,,,APS,HORIZONTAL,,,,,,4.093,0.7466,0.7396,0.04169,42.53,0.8598,4
42_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,42,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-042A,2.0.3,20220801,16:22:13,,,,,APS,HORIZONTAL,,,,,,2.673,0.2118,0.9541,0.1441,0.000,0.000,4
42_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,42,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-042B,2.0.3,20220801,16:22:45,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.912,0.7135,0.7324,0.04912,40.47,2.767,4
43_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,43,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-043A,2.0.3,20220801,16:23:19,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.848,0.4013,0.8722,0.05036,40.66,1.992,4
43_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,43,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-043B,2.0.3,20220801,16:24:24,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,4.701,0.7561,0.7510,0.02583,41.43,1.040,4
44_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,44,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-044A,2.0.3,20220801,16:25:01,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.566,0.5690,0.7784,0.1345,31.82,7.758,4
44_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,44,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-044B,2.0.3,20220801,16:25:33,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.559,0.8469,0.7101,0.06200,41.81,3.402,4
45_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,45,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-045A,2.0.3,20220801,16:26:10,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.783,0.4402,0.8491,0.1069,40.86,1.564,4
45_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,45,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-045B,2.0.3,20220801,16:26:45,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.240,0.6637,0.7441,0.08376,44.92,2.754,4
46_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,46,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-046A,2.0.3,20220801,16:27:14,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.061,0.3000,0.9349,0.1061,43.65,5.505,4
46_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,46,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-046B,2.0.3,20220801,16:27:54,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.497,0.4647,0.8685,0.06973,42.80,2.313,4
47_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,47,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-047A,2.0.3,20220801,16:28:23,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.167,0.2911,0.9299,0.08810,43.25,2.147,4
47_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,47,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-047B,2.0.3,20220801,16:29:51,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.839,0.1078,0.9789,0.05289,35.07,5.176,3
48_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,48,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-048A,2.0.3,20220801,16:30:33,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.268,0.3095,0.9203,0.1778,43.93,9.672,3
48_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,48,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-048B,2.0.3,20220801,16:30:58,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.334,0.5937,0.7784,0.07170,42.25,1.363,4
49_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,49,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-049A,2.0.3,20220801,16:32:35,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.649,0.4612,0.8403,0.1221,41.09,1.571,4
49_b_ACRE-Biomass_Early_y22_LAI_sampling-3,b,49,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-049B,2.0.3,20220801,16:33:09,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,3.388,0.2426,0.9690,0.07147,37.20,3.302,3
50_a_ACRE-Biomass_Early_y22_LAI_sampling-3,a,50,,ACRE-Biomass,Early,y22,LAI,sampling-3,AE3-050A,2.0.3,20220801,16:34:07,PROMPT1,RESPONSE1,PROMPT2,RESPONSE2,APS,HORIZONTAL,,,,,,2.874,0.5307,0.8024,0.1021,40.64,1.520,4
